,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
171,171,171,171,86000.0,11972.1,64.084,0.445
172,172,172,172,86503.0,19974.0,64.235,0.952
173,173,173,173,87006.0,16152.9,63.867,0.485
174,174,174,174,87509.0,14251.6,64.0695,0.16
175,175,175,175,88012.0,15933.9,66.7295,0.681
176,176,176,176,88515.0,16260.9,64.795,0.283
177,177,177,177,89018.0,18267.0,68.625,0.744
178,178,178,178,89522.0,14362.7,64.569,1.117
179,179,179,179,90025.0,10941.8,69.8225,0.203
180,180,180,180,90530.0,21821.9,70.5595,0.215
181,181,181,181,91032.0,10947.6,66.6635,0.722
182,182,182,182,91535.0,14347.1,70.809,0.28
183,183,183,183,92036.0,10823.6,67.3955,1.082
184,184,184,184,92539.0,18011.7,65.33,0.317
185,185,185,185,93043.0,12870.9,66.521,0.274
186,186,186,186,93546.0,8790.1,63.8775,1.036
187,187,187,187,94050.0,15748.6,66.123,0.473
188,188,188,188,94553.0,10548.5,62.095,0.411
189,189,189,189,95057.0,19559.8,60.533,0.266
190,190,190,190,95557.0,14899.3,56.1375,0.58
191,191,191,191,96059.0,16536.9,55.253,0.597
192,192,192,192,96562.0,19521.4,53.6275,0.919
193,193,193,193,97065.0,14134.6,53.0975,0.483
194,194,194,194,97568.0,17160.6,54.7175,0.654
195,195,195,195,98070.0,16869.3,55.198,0.352
196,196,196,196,98573.0,18198.3,53.974,0.448
197,197,197,197,99077.0,18842.2,59.572,0.595
198,198,198,198,99580.0,17411.9,58.7895,0.548
199,199,199,199,100082.0,17640.1,62.869,0.922
200,200,200,200,100533.2,15924.5,65.395,0.565
201,201,201,201,101017.8,17705.5,64.2025,0.418
202,202,202,202,101501.8,17538.7,65.202,0.671
203,203,203,203,102021.1,14816.1,66.275,0.394
204,204,204,204,102479.4,12095.0,64.674,0.804
205,205,205,205,103012.3,9698.3,64.107,0.489
206,206,206,206,103521.1,12483.1,64.1325,0.879
207,207,207,207,103929.8,18629.1,66.946,1.275
208,208,208,208,104487.5,22535.3,65.3655,0.336
209,209,209,209,105003.9,19794.3,66.1775,0.314
210,210,210,210,105566.6,12156.4,67.8195,0.693
211,211,211,211,106062.3,13568.1,71.9605,0.935
212,212,212,212,106469.7,4458.8,74.2715,1.442
213,213,213,213,107056.4,12495.9,76.5715,0.418
214,214,214,214,107463.7,16200.1,73.263,0.064
215,215,215,215,108036.8,14150.2,71.7475,0.199
216,216,216,216,108585.5,6884.5,69.736,0.372
217,217,217,217,109123.9,14868.2,65.883,0.647
218,218,218,218,109669.3,16882.9,67.5365,0.955
219,219,219,219,110128.1,14844.2,67.5125,1.12
220,220,220,220,110648.6,14899.3,65.0805,0.23
221,221,221,221,111194.0,18385.2,62.9935,0.831
222,222,222,222,111790.0,22910.0,59.701,0.425
223,223,223,223,112292.6,18181.2,61.645,0.857
224,224,224,224,112828.2,14883.5,58.574,0.298
225,225,225,225,113301.5,13588.4,62.5715,0.488
226,226,226,226,113791.5,16974.6,62.982,0.92
227,227,227,227,114297.4,17766.2,66.0245,0.131
228,228,228,228,114702.5,17128.3,63.9395,0.53
229,229,229,229,115154.9,14061.2,63.5415,1.146
230,230,230,230,115693.7,19108.7,60.077,0.669
231,231,231,231,116184.1,23467.3,60.635,0.981
232,232,232,232,116777.6,14746.3,66.614,0.56
233,233,233,233,117286.1,12957.9,69.3315,0.393
234,234,234,234,117813.6,10905.7,69.348,0.426
235,235,235,235,118372.0,3838.0,69.782,0.44
236,236,236,236,118845.8,12899.0,66.6235,1.373
237,237,237,237,119258.9,16329.6,66.661,0.493
238,238,238,238,119812.8,14127.2,61.628,0.473
239,239,239,239,120227.6,17106.0,62.854,0.404
