timestamp,FEC_seq_num,status,recover_seq_num,protect_seq_nums,decode_time,search_time,fec_store_time
1772702687069963,12237,success,12232,12212_12213_12215_12216_12217_12218_12219_12220_12222_12223_12224_12225_12226_12227_12229_12230_12231_12232_12233_12234_12235,179000,4000,229000
1772702687210824,12250,fail_NoLoss,,12219_12220_12222_12223_12224_12225_12226_12227_12229_12230_12231_12232_12233_12234_12235_12238_12239_12240_12241_12242_12243,,,56000
1772702687221525,12251,fail_NoLoss,,12226_12227_12229_12230_12231_12232_12233_12234_12235_12238_12239_12240_12241_12242_12243_12244_12245_12246_12247_12248_12249,,,47000
1772702687293533,12259,fail_NoLoss,,12233_12234_12235_12238_12239_12240_12241_12242_12243_12244_12245_12246_12247_12248_12249_12252_12253_12254_12255_12256_12257,,,45000
1772702687374721,12267,fail_NoLoss,,12241_12242_12243_12244_12245_12246_12247_12248_12249_12252_12253_12254_12255_12256_12257_12258_12260_12261_12262_12263_12264,,,43000
1772702687445108,12274,fail_NoLoss,,12247_12248_12249_12252_12253_12254_12255_12256_12257_12258_12260_12261_12262_12263_12264_12265_12266_12268_12269_12270_12271,,,45000
1772702687507109,12282,success,12278,12255_12256_12257_12258_12260_12261_12262_12263_12264_12265_12266_12268_12269_12270_12271_12272_12273_12275_12276_12277_12278,188000,6000,244000
1772702687580031,12290,fail_NoLoss,,12262_12263_12264_12265_12266_12268_12269_12270_12271_12272_12273_12275_12276_12277_12278_12279_12280_12281_12283_12284_12285,,,66000
1772702687639499,12297,fail_NoLoss,,12269_12270_12271_12272_12273_12275_12276_12277_12278_12279_12280_12281_12283_12284_12285_12286_12287_12288_12289_12291_12292,,,43000
1772702687707490,12304,success,12295,12276_12277_12278_12279_12280_12281_12283_12284_12285_12286_12287_12288_12289_12291_12292_12293_12294_12295_12296_12298_12299,180000,5000,232000
1772702687777544,12311,fail_NoLoss,,12283_12284_12285_12286_12287_12288_12289_12291_12292_12293_12294_12295_12296_12298_12299_12300_12301_12302_12303_12305_12306,,,34000
1772702687845452,12318,fail_NoLoss,,12289_12291_12292_12293_12294_12295_12296_12298_12299_12300_12301_12302_12303_12305_12306_12307_12308_12309_12310_12312_12313,,,44000
