timestamp,frame_num,decode_duration
1773458918423094,377,475
1773458918483549,379,187
1773458918791899,381,820
1773458919014630,387,292
1773458919078949,389,157
1773458919154002,390,286
1773458919562744,393,382
1773458919620399,395,379
1773458919694631,397,359
1773458920326359,405,497
1773458920378389,406,344
1773458920445001,408,415
1773458920540435,410,604
1773458920572251,411,180
1773458920626413,412,401
1773458920717918,414,344
1773458920997729,416,62
1773458921056771,420,94
1773458921475308,423,1694
1773458921486035,427,63
1773458921937126,435,1045
1773458921937619,436,439
1773458921974130,437,216
1773458922188487,439,1210
1773458922259822,440,356
1773458922294498,441,152
1773458922338248,442,368
1773458922429709,447,189
1773458922600260,454,410
1773458922676807,457,251
1773458922695607,458,126
1773458922709351,460,125
1773458922721195,461,118
1773458922724369,462,91
1773458922736286,463,185
1773458922751694,464,160
1773458922851853,471,119
1773458922880987,473,153
1773458922930600,477,160
1773458922946317,479,126
1773458923648859,483,93
1773458923667551,482,1913
1773458924540573,493,128
1773458924639309,491,314
1773458925005323,504,173
1773458925398898,514,59
1773458925908914,525,93
1773458926017107,527,119
1773458926025222,529,64
1773458926362601,531,584
1773458926401291,533,117
1773458926412117,534,107
1773458926741718,543,147
1773458926790545,544,126
1773458927387490,551,701
1773458927509897,549,1141
1773458927510413,552,469
1773458927820937,554,339
1773458928218737,560,258
1773458928311883,562,277
1773458928594742,568,292
1773458928839293,571,152
1773458928948403,572,149
1773458929241681,573,1209
1773458930780934,590,221
1773458931661613,604,229
1773458931734861,605,264
1773458931921179,610,151
1773458931970768,611,156
1773458932434405,617,211
1773458932700672,623,165
1773458933702975,631,1455
1773458933938707,632,642
1773458934144719,635,384
1773458934241406,637,257
1773458934315945,639,349
1773458934384516,641,259
1773458934492768,643,289
1773458934567168,645,291
1773458934698003,646,182
1773458934939359,654,214
1773458935085590,655,1197
1773458935158621,660,158
1773458935194868,663,213
1773458935642749,670,304
1773458935977040,673,507
1773458936227929,676,609
1773458936635610,682,62
1773458936876784,688,279
1773458936968375,690,656
1773458936988549,692,25
1773458937017203,695,31
1773458937099575,701,31
1773458937508167,704,31
1773458937975321,708,221
1773458938272975,710,172
1773458938380810,711,137
1773458938686872,713,202
1773458939305471,723,57
1773458939437058,724,1343
1773458939798747,727,89
1773458940024907,735,358
1773458940058228,736,210
1773458940096453,737,306
1773458940327643,742,482
1773458940656119,747,106
1773458940822521,754,349
1773458940869683,757,345
1773458941009948,761,150
1773458941324398,763,1981
1773458941601657,768,419
1773458941655013,769,575
1773458941721699,770,862
1773458942022744,773,827
1773458942133634,774,547
1773458942367270,776,813
1773458942536418,778,678
1773458942715983,779,844
1773458942835746,780,511
1773458942984961,781,684
1773458943142724,782,702
1773458943377335,784,667
1773458943577891,785,863
1773458943723552,786,641
1773458943905727,787,802
1773458944067823,789,705
1773458944253520,790,797
1773458944701662,793,774
1773458945062131,795,741
1773458945235862,797,686
1773458945437197,799,779
1773458946022653,802,732
1773458946088425,803,914
1773458946443046,806,824
1773458946758459,808,796
1773458946991159,809,892
1773458947227557,810,886
1773458947465403,811,898
1773458947949596,816,729
1773458948043175,817,523
1773458948133128,818,566
1773458948249588,819,700
1773458948717514,822,1609
1773458949179018,823,1578
1773458949484638,825,547
1773458949638583,826,534
1773458950142339,832,714
1773458950508938,833,1777
1773458951052602,834,1802
1773458951289655,839,447
1773458951425395,840,799
1773458951458996,841,219
1773458951531952,842,551
1773458951667779,843,915
1773458951690880,844,186
1773458951917308,846,916
1773458951950663,847,165
1773458952138959,858,55
1773458952232146,864,173
1773458952271590,868,179
1773458952463491,879,229
1773458952515105,880,448
1773458952544799,882,395
1773458953790174,891,499
1773458953794734,892,124
1773458954264727,896,320
1773458954300319,897,291
1773458954654466,900,155
1773458954998637,901,350
1773458955029443,902,259
1773458955892729,907,149
1773458955988254,909,188
1773458957905796,916,87
1773458958403348,919,62
1773458958597021,920,247
1773458959675563,930,153
1773458960282745,938,759
1773458960479530,940,27
1773458960484822,941,125
1773458960489209,942,119
1773458960492485,943,33
1773458960841689,952,31
1773458960901497,953,153
1773458960927214,955,31
1773458961044868,958,28
1773458963095111,963,54
1773458963105222,964,55
1773458963155883,968,125
1773458963165308,970,61
1773458963168531,971,63
1773458963171070,972,62
1773458963191216,976,87
1773458963193084,977,61
1773458963198076,979,62
1773458963205742,980,58
1773458963222706,985,58
1773458963224514,986,57
1773458963229718,988,32
1773458963270145,991,93
1773458963286048,994,62
1773458963302300,995,154
1773458963304604,996,65
1773458963319353,998,121
1773458963321440,999,29
1773458963326699,1001,55
1773458963352565,1007,87
1773458963365927,1010,31
1773458963367860,1011,55
1773458963369790,1012,60
1773458963405861,1018,121
1773458963419538,1023,58
1773458963452673,1025,478
1773458963456103,1026,31
1773458963487056,1031,60
1773458963489720,1032,32
1773458963491771,1033,28
1773458963503084,1035,55
1773458963517361,1038,97
1773458963539908,1043,55
1773458963541871,1044,27
1773458963606172,1046,440
1773458963712609,1048,584
1773458963760169,1049,320
1773458963765708,1050,95
1773458963787100,1053,62
