,Unnamed: 0.1,Unnamed: 0,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
169,169,169,84997.0,69133.9,31.07825,0.831
170,170,170,85499.0,39269.7,31.37425,0.527
171,171,171,86000.0,34523.3,30.36775,0.372
172,172,172,86503.0,59729.0,30.85975,0.853
173,173,173,87006.0,52183.6,31.06975,0.281
174,174,174,87509.0,43598.5,31.666,0.357
175,175,175,88012.0,48432.8,32.09325,0.509
176,176,176,88515.0,50578.9,32.11125,0.555
177,177,177,89018.0,50512.4,33.8015,1.185
178,178,178,89522.0,43107.0,33.57225,0.54
179,179,179,90025.0,30028.6,35.05975,0.372
180,180,180,90530.0,61575.1,34.93375,0.163
181,181,181,91032.0,32305.7,35.49125,0.446
182,182,182,91535.0,45282.6,32.9275,0.063
183,183,183,92036.0,31583.4,34.17275,0.179
184,184,184,92539.0,56490.8,33.17275,0.256
185,185,185,93043.0,38349.3,34.01075,0.54
186,186,186,93546.0,25501.5,32.96175,0.585
187,187,187,94050.0,51622.8,32.3265,0.741
188,188,188,94553.0,31946.0,32.0645,0.872
189,189,189,95057.0,57528.4,30.034,0.588
190,190,190,95557.0,43823.5,27.9195,0.914
191,191,191,96059.0,48488.4,28.58225,0.898
192,192,192,96562.0,53963.7,28.27825,0.409
193,193,193,97065.0,44536.7,26.8595,0.363
194,194,194,97568.0,48339.6,27.42725,0.975
195,195,195,98070.0,51497.0,27.06275,0.231
196,196,196,98573.0,53319.8,29.01875,2.075
197,197,197,99077.0,53229.3,29.388,0.203
198,198,198,99580.0,54568.8,29.15825,0.635
199,199,199,100082.0,53253.7,31.34225,0.593
200,200,200,100533.2,48007.8,31.5255,0.2
201,201,201,101017.8,48508.8,31.28425,0.173
202,202,202,101501.8,51189.8,33.812,1.511
203,203,203,102021.1,41365.0,32.2125,0.864
204,204,204,102479.4,39488.5,33.0685,0.124
205,205,205,103012.3,29915.3,34.05925,0.301
206,206,206,103521.1,40420.0,31.83275,0.078
207,207,207,103929.8,51045.7,33.52675,0.56
208,208,208,104487.5,69036.9,32.57975,0.562
209,209,209,105003.9,55146.9,32.06325,1.277
210,210,210,105566.6,38019.1,33.69225,0.218
211,211,211,106062.3,38897.9,36.8315,0.432
212,212,212,106469.7,12459.0,38.12025,0.483
213,213,213,107056.4,36735.4,38.36475,0.919
214,214,214,107463.7,48284.6,36.44375,1.22
215,215,215,108036.8,42635.3,34.497,0.884
216,216,216,108585.5,21398.0,34.50025,0.972
217,217,217,109123.9,47553.5,34.055,1.102
218,218,218,109669.3,50593.6,34.15475,0.535
219,219,219,110128.1,47267.9,33.278,1.573
220,220,220,110648.6,45901.7,32.5525,0.154
221,221,221,111194.0,51826.3,32.61975,0.48
222,222,222,111790.0,66770.4,31.29725,0.729
223,223,223,112292.6,55007.4,29.2195,0.498
224,224,224,112828.2,41800.9,30.01175,0.518
225,225,225,113301.5,41763.0,30.31425,0.072
226,226,226,113791.5,49453.4,30.489,0.156
227,227,227,114297.4,48701.0,30.85575,0.601
228,228,228,114702.5,47722.4,32.59975,1.068
229,229,229,115154.9,42558.1,31.5615,0.929
230,230,230,115693.7,60509.3,31.329,1.076
231,231,231,116184.1,67877.3,30.80225,0.117
232,232,232,116777.6,45716.8,31.837,0.921
233,233,233,117286.1,39140.8,33.273,0.144
234,234,234,117813.6,33875.8,34.579,1.204
235,235,235,118372.0,12343.5,34.06275,0.213
236,236,236,118845.8,39103.5,32.323,0.827
237,237,237,119258.9,48076.7,32.90725,0.248
238,238,238,119812.8,40187.5,31.5725,0.917
239,239,239,120227.6,48865.6,31.2625,0.206
